vehicle_id,depart_time,arrive_time,waiting_time,is_controlled_vehicle,is_teleported_vehicle
veh16739,27540.0,,23.0,False,False
veh16744,27545.0,,311.0,False,False
veh16749,27550.0,28770.0,464.0,False,False
bike3672,27555.0,27835.0,66.0,False,False
veh16759,27560.0,,198.0,True,False
veh16764,27565.0,,381.0,False,False
veh16774,27575.0,,224.0,False,False
veh16779,27580.0,,84.0,True,False
truck4393,27580.0,,393.0,False,False
veh16789,27590.0,,660.0,True,False
veh16794,27595.0,,0.0,False,False
truck4398,27595.0,28155.0,194.0,True,False
veh16799,27600.0,,423.0,False,False
veh16804,27605.0,28185.0,103.0,False,False
truck4403,27610.0,27885.0,38.0,False,False
veh16814,27615.0,,349.0,False,False
veh16819,27620.0,,617.0,True,False
veh16824,27625.0,,628.0,False,False
truck4408,27625.0,,230.0,False,False
veh16787,27630.0,,386.0,False,False
